Name	Count
Aasif Mandvi	 1
Abbie Cornish	 1
Adam Sessa	 1
Adria Baratta	 1
Adriana Alexander	 1
Afa Anoai	 1
Ahmet Zappa	 1
Aida Turturro	 2
Al Berry	 1
Al Fann	 1
Al Green	 1
Al Pacino	 2
Alan Bagh	 1
Alan C. Peterson	 1
Alan Cumming	 2
Alan Doyle	 1
Alec Wilson	 1
Alessio Boni	 1
Alex Arleo	 1
Alex Bookston	 1
Alex Borstein	 1
Alex O'Loughlin	 1
Alexa Nikolas	 1
Alexa PenaVega	 1
Alexander Conti	 1
Alfred Molina	 1
Alia Shawkat	 1
Alicia Silverstone	 1
Alicia Witt	 1
Alison Doody	 1
Alix Freihage	 1
Allan Graf	 1
Allison Dean	 1
Alvin Aki	 1
Amanda Foreman	 1
Amber Heard	 1
Amir Aboulela	 1
Amy Block	 1
Amy Brenneman	 1
Amy Fuehrer	 1
Amy Sedaris	 1
Amy Smart	 2
Andie MacDowell	 1
Andre Gregory	 1
Andre Rosey Brown	 1
Andrea Powell	 1
Andrew Bryniarski	 2
Andrew Hefler	 1
Andrew Lawrence	 1
Andrew Lowery	 1
Andrew Robinson	 1
Andy Davoli	 1
Andy Hirsch	 1
Andy Karl	 1
Angela Bassett	 1
Angela Grovey	 1
Angelina Jolie	 1
Angus MacInnes	 1
Anika Noni Rose	 1
Ann Magnuson	 1
Ann-Margret	 1
Annette O'Toole	 1
Annie Ross	 1
Anson Mount	 1
Anthony Anderson	 1
Anthony Montgomery	 1
Antoinette Peragine	 1
Arabella Field	 1
Arline Miyazaki	 1
Armand Assante	 1
Arnold Schwarzenegger	 3
Art Bell	 1
Art Hsu	 1
Art LaFleur	 1
Art Metrano	 1
Arthur Malet	 1
Asher Tzarfati	 1
Ashley Greene	 2
Avi Korein	 1
Bahni Turpin	 1
Bai Ling	 2
Bairbre Dowling	 1
Balthazar Getty	 1
Barbara Allyne Bennet	 1
Barbara Tyson	 1
Barima McKnight	 1
Barna Illyés	 1
Barry Pepper	 1
Barry Scott	 1
Bebe Drake	 1
Ben Affleck	 3
Ben Gazzara	 1
Ben Kingsley	 1
Ben McKenzie	 1
Ben Mendelsohn	 1
Benjamin Bratt	 2
Benjamin Brock	 1
Benjamin J. Cain Jr.	 1
Benjy Bronk	 1
Berend McKenzie	 1
Bernie Mac	 1
Bertila Damas	 1
Beth Grant	 1
Betty Bobbitt	 1
Beverly Johnson	 1
Bill Byrge	 1
Bill Eadie	 1
Bill Henderson	 1
Bill Nunn	 1
Bill Pugin	 1
Billy Burke	 3
Blake Clark	 1
Blake Lively	 1
Bob Beattie	 1
Bob Gunton	 2
Bob Hoskins	 1
Bob Schott	 1
Bobbie Brown	 1
Bonnie Aarons	 1
Boo	 1
Bosco Hogan	 1
Brad Dourif	 1
Brad Schacter	 1
Bradley Cooper	 1
Branden Williams	 1
Brandon Belknap	 1
Brandy Norwood	 1
Brendan Fletcher	 1
Brian Casey	 1
Brian Cox	 1
Brian Dietzen	 1
Brian Doyle-Murray	 1
